About,Tentang
Account,Akun
Add New Address,Tambah Alamat Baru
Additional Notes,Catatan Tambahan
Administrator,Administrator
All,Semua
Allow Create Sales Order,Izinkan Buat Pesanan Penjualan
Allow Credit Sale,Izinkan Penjualan Kredit
Allow Partial Payment,Izinkan Pembayaran Sebagian
Allow Return,Izinkan Pengembalian
Allow Submissions in background job,Izinkan Pengiriman dalam pekerjaan latar belakang
Allow User to Edit Item Discount,Izinkan Pengguna Mengedit Diskon Barang
Allow user to edit Additional Discount,Izinkan pengguna mengedit Diskon Tambahan
Allow user to edit Rate,Izinkan pengguna mengedit Harga
Amount,Jumlah
Apply Customer Discount,Terapkan Diskon Pelanggan
Apply For,Terapkan Untuk
Apply On,Terapkan Pada
Apply Rule On Brand,Terapkan Aturan pada Merek
Apply Rule On Item Code,Terapkan Aturan pada Kode Barang
Apply Rule On Item Group,Terapkan Aturan pada Grup Barang
Apply Type,Terapkan Tipe
Applied,Diterapkan
Auto Apply,Terapkan Otomatis
Auto Delete Draft Invoice,Hapus Faktur Draft Otomatis
Auto Set Batch,Atur Batch Otomatis
Available QTY, Tersedia
Back,Kembali
Brand,Merek
Cancel,Batal
Cancel Current Invoice ?,Batalkan Faktur Saat Ini ?
Cancelled,Dibatalkan
Cancel Payment,Batalkan Pembayaran
Card,Kartu
Cash Mode of Payment,Mode Pembayaran Tunai
Cashier,Kasir
Charges not found,Biaya tidak ditemukan
Close,Tutup
Close Shift,Tutup Shift
Closed,Ditutup
Closing Amount,Jumlah Penutupan
Closing POS Shift,Menutup Shift POS
Code,Kode
Company,Perusahaan
Consumable,Habis Pakai
Coupons,Kupon
Customer,Pelanggan
Customer not found,Pelanggan tidak ditemukan
Date,Tanggal
Default Loyalty Program,Program Loyalitas Default
Delivery Charges,Biaya Pengiriman
Delivery Charges Rate,Tarif Biaya Pengiriman
Delivery Date,Tanggal Pengiriman
Description,Deskripsi
Details,Detail
Difference,Perbedaan
Disable,Nonaktifkan
Discount %,Diskon %
Discount Amount,Jumlah Diskon
Discount Percentage,Persentase Diskon
Discount Type,Tipe Diskon
Draft,Draft
Expected Amount,Jumlah yang Diharapkan
Full Name,Nama Lengkap
Give Item,Berikan Barang
Give Item Row ID,ID Baris Barang yang Diberikan
Held, Lanjutkan
Invoice,Faktur
is Offer, Promosi
Item,Barang
Item Code,Kode Barang
Items Discounts,Discount Barang
Item Group,Grup Barang
Items Group,Grup Barang
List,Daftar
Logout,Keluar
Menu,Menu
Mobile No,No HP
Mode of Payment,Mode Pembayaran
Name,Nama
New Offer Available,Penawaran Baru Tersedia
No data available,Tidak ada data tersedia
Offer,Penawaran
Offers,Penawaran
Opening Amount,Jumlah Pembukaan
PAY,Pembayaran
Payments,Pembayaran
POS,POS
Posting Date,Tanggal Posting
Print Last Invoice,Cetak Faktur Terakhir
QTY,JML
Qty,Jml
Quantity,Jumlah
Rate,Harga
Return,Retur
Save/New,Simpan/Baru
Search,Cari
Search Items,Cari Barang
Select,Pilih
Select Hold Invoice,Pilih Faktur
Select Payment,Pilih Pembayaran
Select Return Invoice,Pilih Faktur Retur
Submit,Kirim
Submit & Print, Kirim & Cetak
Time,Waktu
Type,Tipe
UOM, Satuan
